"الرابط","نوع المحتوى","كود الحالة","الحالة","إصدار HTTP","قابلية الأرشفة","حالة الأرشفة","Canonical Link Element ١","Meta Robots ١","X-Robots-Tag ١"
"https://dnmeg.com/products/perfect-baggy-jeans-in-grey","text/html; charset=utf-8","200","OK","1.1","قابل للفهرسة","","https://dnmeg.com/products/perfect-baggy-jeans-in-grey","",""
"https://dnmeg.com/cdn/shop/files/tee-back-p.png?v=1717345743&width=1946","image/png","200","OK","1.1","قابل للفهرسة","","","",""
"https://dnmeg.com/cdn/shop/files/keychain.png?v=1733163431&width=533","image/png","200","OK","1.1","قابل للفهرسة","","","",""
"https://dnmeg.com/cdn/shop/files/front_black_jeanss-l.png?v=1733075169&width=533","image/png","200","OK","1.1","قابل للفهرسة","","","",""
"https://dnmeg.com/products/zip-up-1-2","text/html; charset=utf-8","200","OK","1.1","قابل للفهرسة","","https://dnmeg.com/products/zip-up-1-2","",""
"https://dnmeg.com/products/zip-up-1-4","text/html; charset=utf-8","200","OK","1.1","قابل للفهرسة","","https://dnmeg.com/products/zip-up-1-4","",""
"https://dnmeg.com/products/perfect-baggy-jeans-in-blue","text/html; charset=utf-8","200","OK","1.1","قابل للفهرسة","","https://dnmeg.com/products/perfect-baggy-jeans-in-blue","",""
"https://dnmeg.com/products/zip-up-1-3","text/html; charset=utf-8","200","OK","1.1","قابل للفهرسة","","https://dnmeg.com/products/zip-up-1-3","",""
"https://dnmeg.com/cdn/shop/files/ZIPUP-BLACK-_2.png?v=1733089003&width=533","image/png","200","OK","1.1","قابل للفهرسة","","","",""
"https://dnmeg.com/products/zip-up-1-0","text/html; charset=utf-8","200","OK","1.1","قابل للفهرسة","","https://dnmeg.com/products/zip-up-1-0","",""
"https://dnmeg.com/cdn/shop/files/brown-front_ba1edbb2-9237-47ea-8968-a8b1d961ffda.png?v=1733088997&width=533","image/png","200","OK","1.1","قابل للفهرسة","","","",""
"https://dnmeg.com/cdn/shop/t/7/assets/facets.js?v=42798985796066624181732668148","text/javascript","200","OK","1.1","غير قابل للفهرسة","اتعمله Canonicalisation","","",""
"https://dnmeg.com/cdn/shop/files/dnm-beanie.png?v=1703474614&width=533","image/png","200","OK","1.1","قابل للفهرسة","","","",""
"https://dnmeg.com/cdn/shop/files/purple-white-face.png?v=1717344916&width=1445","image/png","200","OK","1.1","قابل للفهرسة","","","",""
"https://dnmeg.com/products/zip-up-1-5","text/html; charset=utf-8","200","OK","1.1","قابل للفهرسة","","https://dnmeg.com/products/zip-up-1-5","",""
"https://dnmeg.com/cdn/shop/files/custom_resized_ef6a0e31-7c9f-48e7-b0a8-011b3c9c5ac1.png?v=1696831119&width=533","image/png","200","OK","1.1","قابل للفهرسة","","","",""
"https://dnmeg.com/cdn/shop/files/grey_ftont-s_949573b1-730b-4283-ab3b-9d3388775c28.png?v=1733075122&width=533","image/png","200","OK","1.1","قابل للفهرسة","","","",""
"https://dnmeg.com/cdn/shop/files/vintagefromt-web.png?v=1701342936&width=533","image/png","200","OK","1.1","قابل للفهرسة","","","",""
"https://dnmeg.com/cdn/shop/files/Artboard1_13f8eb19-b5c8-465f-9e97-97274fbc9122.png?v=1715271669&width=1946","image/png","200","OK","1.1","قابل للفهرسة","","","",""
"https://dnmeg.com/products/socks-1-1-pack-of-3","text/html; charset=utf-8","200","OK","1.1","قابل للفهرسة","","https://dnmeg.com/products/socks-1-1-pack-of-3","",""
"https://dnmeg.com/cdn/shop/files/FullSizeRender.jpg?v=1755178948&width=533","image/jpeg","200","OK","1.1","قابل للفهرسة","","","",""
"https://dnmeg.com/products/jeans-1-2","text/html; charset=utf-8","200","OK","1.1","قابل للفهرسة","","https://dnmeg.com/products/jeans-1-2","",""
"https://dnmeg.com/products/socks-1-0","text/html; charset=utf-8","200","OK","1.1","قابل للفهرسة","","https://dnmeg.com/products/socks-1-0","",""
"https://dnmeg.com/products/socks-1-1","text/html; charset=utf-8","200","OK","1.1","قابل للفهرسة","","https://dnmeg.com/products/socks-1-1","",""
"https://dnmeg.com/products/jeans-1-6","text/html; charset=utf-8","200","OK","1.1","قابل للفهرسة","","https://dnmeg.com/products/jeans-1-6","",""
"https://dnmeg.com/cdn/shop/files/grey_front_905a9188-8020-4967-b7bb-cabdb06c1e4d.png?v=1733088967&width=533","image/png","200","OK","1.1","قابل للفهرسة","","","",""
"https://dnmeg.com/cdn/shop/files/Artboard2.png?v=1715271670&width=1946","image/png","200","OK","1.1","قابل للفهرسة","","","",""
"https://dnmeg.com/cdn/shop/t/7/assets/media-gallery.js?v=53998976194532824491732668149","text/javascript","200","OK","1.1","غير قابل للفهرسة","اتعمله Canonicalisation","","",""
"https://dnmeg.com/cdn/shopifycloud/portable-wallets/latest/accelerated-checkout-backwards-compat.css","text/css","200","OK","1.1","غير قابل للفهرسة","اتعمله Canonicalisation","","",""
"https://dnmeg.com/cdn/shop/files/21-front.png?v=1717348025&width=1445","image/png","200","OK","1.1","قابل للفهرسة","","","",""
"https://dnmeg.com/cdn/shop/files/tee-back-p.png?v=1717345743&width=1445","image/png","200","OK","1.1","قابل للفهرسة","","","",""
"https://dnmeg.com/cdn/shop/t/7/assets/show-more.js?v=135784227224860024771732668150","text/javascript","200","OK","1.1","غير قابل للفهرسة","اتعمله Canonicalisation","","",""
"https://dnmeg.com/cdn/shop/files/green-front_eb52aec5-c932-41f5-af02-e7bcb2c8ed88.png?v=1733077198&width=533","image/png","200","OK","1.1","قابل للفهرسة","","","",""
"https://dnmeg.com/cdn/shop/files/FullSizeRender_a0c0803a-8957-4095-aefa-2deacb5c7c56.jpg?v=1755178985&width=533","image/jpeg","200","OK","1.1","قابل للفهرسة","","","",""
"https://dnmeg.com/cdn/shop/t/7/assets/product-modal.js?v=116616134454508949461732668149","text/javascript","200","OK","1.1","غير قابل للفهرسة","اتعمله Canonicalisation","","",""
"https://dnmeg.com/products/cap-1-2","text/html; charset=utf-8","200","OK","1.1","قابل للفهرسة","","https://dnmeg.com/products/cap-1-2","",""
"https://dnmeg.com/cdn/shop/files/black-socks.png?v=1733161699&width=533","image/png","200","OK","1.1","قابل للفهرسة","","","",""
"https://dnmeg.com/products/sleeveless-1-1","text/html; charset=utf-8","200","OK","1.1","قابل للفهرسة","","https://dnmeg.com/products/sleeveless-1-1","",""
